age,age_group,job,marital,education,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,td_enroll
54,Boomer,services,married,unknown,0,yes,no,cellular,686,2,267,1,other,yes
38,GenX,admin.,divorced,secondary,19,yes,no,cellular,1130,3,251,2,success,yes
31,Millennial,management,single,tertiary,12857,yes,no,cellular,158,1,92,1,success,yes
60,Boomer,admin.,divorced,secondary,-41,yes,yes,cellular,1658,1,262,1,failure,yes
34,Millennial,management,married,tertiary,0,no,no,cellular,787,3,9,1,other,yes
33,Millennial,blue-collar,single,tertiary,700,no,no,cellular,126,1,88,1,success,yes
34,Millennial,admin.,married,secondary,0,yes,no,cellular,97,1,85,1,failure,yes
51,Boomer,technician,married,tertiary,1347,yes,yes,cellular,160,1,243,1,failure,yes
40,GenX,blue-collar,married,secondary,5060,no,no,cellular,154,2,93,1,success,yes
37,GenX,admin.,married,secondary,1314,yes,no,cellular,118,4,210,3,failure,yes
33,Millennial,management,single,tertiary,3552,no,no,cellular,158,2,85,3,failure,yes
35,GenX,student,single,secondary,188,yes,no,cellular,75,3,200,5,failure,yes
44,GenX,admin.,divorced,secondary,397,yes,yes,cellular,127,1,257,1,other,yes
39,GenX,technician,married,secondary,4101,yes,no,cellular,146,2,264,1,other,yes
27,Millennial,unknown,single,secondary,1187,no,no,telephone,232,1,101,1,failure,yes
30,Millennial,management,single,tertiary,5561,yes,no,cellular,195,1,100,1,success,yes
50,GenX,management,married,unknown,8345,no,no,cellular,194,1,261,1,failure,yes
38,GenX,technician,married,secondary,5115,yes,no,cellular,99,1,102,6,success,yes
39,GenX,blue-collar,single,primary,581,yes,no,cellular,233,1,270,1,other,yes
60,Boomer,retired,married,secondary,404,no,no,cellular,308,2,196,2,failure,yes
53,Boomer,management,married,secondary,2693,no,no,cellular,90,1,104,1,failure,yes
45,GenX,admin.,divorced,secondary,2353,yes,no,cellular,182,1,107,2,other,yes
31,Millennial,management,divorced,tertiary,883,yes,no,cellular,112,2,106,1,failure,yes
44,GenX,management,single,tertiary,483,no,no,cellular,207,2,199,6,success,yes
37,GenX,unemployed,single,tertiary,1316,yes,no,cellular,350,2,112,3,failure,yes
37,GenX,services,single,secondary,1045,no,no,cellular,406,2,41,1,failure,yes
30,Millennial,management,married,tertiary,8089,yes,no,cellular,232,2,294,2,failure,yes
59,Boomer,admin.,married,secondary,3735,no,no,cellular,203,4,121,2,failure,yes
34,Millennial,technician,married,secondary,390,yes,no,cellular,95,2,231,2,failure,yes
38,GenX,admin.,married,tertiary,1988,no,no,cellular,164,2,130,2,failure,yes
46,GenX,admin.,married,secondary,-522,yes,no,cellular,243,3,239,13,other,yes
50,GenX,management,married,tertiary,414,yes,no,cellular,707,1,302,3,failure,yes
55,Boomer,blue-collar,divorced,secondary,1613,yes,no,cellular,296,1,270,3,failure,yes
41,GenX,self-employed,married,secondary,3123,yes,no,cellular,1203,2,135,2,failure,yes
54,Boomer,entrepreneur,divorced,unknown,4736,yes,no,telephone,475,6,307,5,failure,yes
33,Millennial,technician,single,tertiary,127,yes,no,cellular,583,2,222,17,failure,yes
37,GenX,admin.,married,secondary,1207,yes,no,telephone,1353,2,138,2,success,yes
37,GenX,technician,single,tertiary,3943,no,no,cellular,1138,2,138,1,failure,yes
36,GenX,blue-collar,single,secondary,1822,yes,no,cellular,952,1,323,1,other,yes
48,GenX,management,married,secondary,4415,yes,no,cellular,1032,3,141,7,failure,yes
32,Millennial,technician,married,secondary,303,yes,no,cellular,150,1,267,4,failure,yes
33,Millennial,management,single,tertiary,318,yes,no,cellular,1190,1,141,3,other,yes
30,Millennial,services,single,secondary,1268,yes,no,cellular,105,4,320,8,other,yes
38,GenX,blue-collar,single,secondary,2580,yes,no,cellular,1691,2,264,3,failure,yes
41,GenX,services,married,secondary,803,yes,no,cellular,592,4,316,3,failure,yes
33,Millennial,technician,single,secondary,719,yes,no,cellular,448,2,316,6,failure,yes
42,GenX,entrepreneur,married,secondary,0,yes,no,cellular,331,1,140,4,failure,yes
28,Millennial,management,divorced,tertiary,229,yes,no,cellular,1042,2,315,2,other,yes
45,GenX,blue-collar,married,secondary,96,yes,no,cellular,348,3,256,2,failure,yes
44,GenX,self-employed,single,tertiary,1367,yes,no,cellular,1232,3,146,1,other,yes
33,Millennial,management,married,tertiary,0,yes,no,cellular,535,3,328,1,failure,yes
33,Millennial,admin.,single,secondary,572,yes,no,cellular,344,1,74,2,failure,yes
44,GenX,admin.,divorced,secondary,0,no,no,cellular,1594,1,148,1,failure,yes
43,GenX,services,married,primary,2557,yes,no,telephone,165,2,327,3,failure,yes
32,Millennial,services,married,secondary,1129,yes,no,cellular,903,2,341,2,failure,yes
33,Millennial,management,single,tertiary,1271,yes,no,cellular,636,3,330,1,failure,yes
38,GenX,management,single,tertiary,6158,yes,no,cellular,139,5,145,9,failure,yes
32,Millennial,blue-collar,married,secondary,-53,yes,no,cellular,648,1,272,1,other,yes
51,Boomer,housemaid,married,unknown,2337,yes,no,cellular,251,2,266,3,other,yes
52,Boomer,entrepreneur,single,tertiary,3469,yes,no,cellular,583,1,147,1,success,yes
35,GenX,technician,married,secondary,545,yes,no,cellular,1579,1,234,4,failure,yes
35,GenX,blue-collar,single,secondary,0,yes,no,cellular,1174,1,345,4,other,yes
32,Millennial,services,married,secondary,1273,yes,no,cellular,1365,2,328,1,failure,yes
32,Millennial,technician,single,tertiary,932,yes,no,cellular,944,1,318,1,failure,yes
40,GenX,services,divorced,primary,471,yes,no,cellular,1156,1,345,2,failure,yes
56,Boomer,retired,married,secondary,3738,yes,no,cellular,156,1,305,6,other,yes
35,GenX,blue-collar,married,secondary,293,yes,no,cellular,1017,1,325,1,other,yes
32,Millennial,management,divorced,tertiary,294,yes,no,cellular,1095,1,274,5,success,yes
34,Millennial,blue-collar,married,primary,329,yes,no,cellular,952,1,343,1,failure,yes
31,Millennial,technician,single,tertiary,985,yes,no,cellular,997,1,57,2,failure,yes
32,Millennial,blue-collar,married,secondary,225,yes,no,cellular,574,1,150,1,failure,yes
38,GenX,management,married,tertiary,165,yes,no,cellular,526,1,260,2,other,yes
37,GenX,blue-collar,married,primary,3154,yes,no,cellular,404,1,305,3,failure,yes
29,Millennial,technician,married,secondary,1180,yes,no,cellular,367,3,323,3,failure,yes
33,Millennial,blue-collar,divorced,unknown,-274,yes,yes,cellular,715,2,329,2,failure,yes
34,Millennial,management,married,secondary,879,yes,no,cellular,712,1,344,1,failure,yes
41,GenX,self-employed,married,secondary,323,yes,no,cellular,949,2,254,6,other,yes
53,Boomer,technician,married,secondary,5303,yes,no,telephone,320,3,180,1,success,yes
50,GenX,unknown,married,primary,341,yes,yes,cellular,670,4,340,2,success,yes
28,Millennial,technician,single,tertiary,387,yes,no,cellular,205,1,82,1,failure,yes
37,GenX,management,single,tertiary,72,yes,yes,cellular,885,5,150,7,failure,yes
29,Millennial,self-employed,married,secondary,123,no,yes,cellular,158,2,181,1,success,yes
41,GenX,management,divorced,tertiary,1757,no,no,cellular,314,1,239,13,failure,yes
32,Millennial,technician,single,tertiary,5514,no,no,cellular,319,1,182,1,success,yes
33,Millennial,admin.,married,tertiary,882,no,no,cellular,104,1,183,4,failure,yes
45,GenX,admin.,divorced,primary,429,yes,no,cellular,147,1,181,1,success,yes
53,Boomer,management,married,tertiary,3754,no,no,cellular,307,1,278,2,failure,yes
31,Millennial,admin.,single,tertiary,676,yes,no,cellular,124,2,343,2,other,yes
37,GenX,management,married,tertiary,0,yes,no,cellular,242,5,153,7,failure,yes
29,Millennial,management,single,tertiary,224,yes,no,cellular,65,2,81,3,failure,yes
32,Millennial,management,single,tertiary,2974,yes,no,cellular,227,1,4,1,failure,yes
31,Millennial,technician,single,tertiary,1081,no,no,cellular,202,5,261,2,failure,yes
35,GenX,blue-collar,married,secondary,149,yes,no,cellular,507,3,349,1,other,yes
29,Millennial,admin.,married,secondary,7707,yes,no,cellular,961,2,334,2,failure,yes
46,GenX,self-employed,single,secondary,526,no,no,cellular,523,1,87,2,other,yes
38,GenX,services,married,secondary,1970,yes,no,cellular,701,1,176,1,success,yes
47,GenX,technician,married,secondary,1167,yes,no,cellular,968,1,87,5,failure,yes
52,Boomer,management,married,tertiary,193,no,no,cellular,381,1,269,1,failure,yes
36,GenX,unemployed,single,tertiary,1291,no,no,cellular,195,1,86,1,success,yes
47,GenX,blue-collar,married,secondary,1230,yes,no,cellular,412,1,169,1,success,yes
36,GenX,admin.,married,secondary,96,no,no,cellular,208,1,87,1,success,yes
23,Millennial,student,single,secondary,0,no,no,cellular,297,1,83,6,success,yes
29,Millennial,management,single,tertiary,697,no,no,cellular,365,1,85,1,success,yes
49,GenX,admin.,married,secondary,3608,yes,no,cellular,252,1,168,1,success,yes
59,Boomer,technician,married,secondary,2308,no,no,cellular,815,1,87,1,other,yes
58,Boomer,management,divorced,tertiary,5701,no,no,cellular,354,1,87,1,success,yes
48,GenX,blue-collar,married,secondary,292,no,no,cellular,271,1,79,1,success,yes
54,Boomer,admin.,divorced,secondary,1693,no,no,cellular,1277,1,87,2,other,yes
42,GenX,technician,married,tertiary,757,no,no,cellular,354,1,79,1,success,yes
42,GenX,blue-collar,married,primary,201,yes,no,cellular,841,1,85,2,failure,yes
44,GenX,self-employed,divorced,tertiary,1070,yes,no,cellular,381,1,160,2,other,yes
47,GenX,unknown,married,unknown,677,no,no,cellular,900,2,86,2,failure,yes
30,Millennial,management,single,tertiary,398,no,no,cellular,554,1,6,2,success,yes
46,GenX,technician,married,secondary,0,no,no,cellular,200,1,259,2,other,yes
31,Millennial,management,married,tertiary,1331,no,no,cellular,297,1,86,3,success,yes
35,GenX,management,single,tertiary,1750,yes,no,cellular,687,1,9,3,success,yes
35,GenX,management,married,tertiary,193,yes,no,cellular,565,1,13,1,failure,yes
56,Boomer,management,married,tertiary,616,no,no,cellular,225,1,83,1,success,yes
35,GenX,admin.,single,tertiary,994,no,no,cellular,400,1,87,2,failure,yes
33,Millennial,blue-collar,single,unknown,129,yes,yes,cellular,482,1,161,1,failure,yes
46,GenX,services,married,secondary,4,no,no,cellular,268,1,261,5,other,yes
42,GenX,management,married,tertiary,6060,yes,no,cellular,316,1,350,2,failure,yes
33,Millennial,management,married,tertiary,55,no,no,cellular,526,2,87,3,failure,yes
37,GenX,management,married,tertiary,630,no,no,cellular,315,1,87,1,success,yes
53,Boomer,management,married,tertiary,1624,no,no,cellular,284,3,84,3,success,yes
26,Millennial,admin.,single,secondary,255,no,no,cellular,457,1,80,1,success,yes
30,Millennial,admin.,single,secondary,270,no,no,cellular,437,1,80,1,success,yes
38,GenX,management,married,tertiary,613,no,no,cellular,242,1,86,1,success,yes
29,Millennial,technician,single,secondary,674,no,no,cellular,483,1,13,5,success,yes
47,GenX,management,single,tertiary,86,no,no,cellular,387,3,87,1,success,yes
34,Millennial,management,single,tertiary,1228,no,no,cellular,580,2,84,8,success,yes
54,Boomer,technician,divorced,secondary,2156,yes,no,cellular,258,1,86,5,success,yes
28,Millennial,student,single,tertiary,3054,no,no,cellular,384,1,80,6,other,yes
46,GenX,management,married,tertiary,699,no,no,cellular,970,1,87,1,failure,yes
35,GenX,management,married,tertiary,495,no,no,cellular,266,1,87,1,failure,yes
47,GenX,blue-collar,married,primary,2749,yes,no,cellular,774,2,164,1,failure,yes
34,Millennial,management,married,tertiary,0,yes,no,cellular,300,1,86,1,success,yes
54,Boomer,management,married,tertiary,1014,no,yes,cellular,240,1,162,2,failure,yes
39,GenX,management,married,tertiary,0,no,no,cellular,342,3,22,3,other,yes
33,Millennial,blue-collar,single,tertiary,700,no,no,cellular,169,1,80,2,success,yes
58,Boomer,management,married,tertiary,4152,yes,no,cellular,750,2,164,4,other,yes
54,Boomer,technician,married,secondary,0,no,no,telephone,766,3,84,3,success,yes
31,Millennial,management,single,tertiary,354,no,no,cellular,502,1,9,2,success,yes
32,Millennial,technician,single,tertiary,1246,yes,no,cellular,509,1,85,2,success,yes
34,Millennial,management,married,tertiary,3047,no,no,cellular,317,1,160,5,other,yes
29,Millennial,blue-collar,single,secondary,734,yes,yes,cellular,259,1,296,1,other,yes
30,Millennial,admin.,single,tertiary,305,no,no,cellular,633,1,85,2,success,yes
40,GenX,technician,single,tertiary,1646,yes,no,cellular,392,2,91,3,success,yes
28,Millennial,unemployed,single,primary,236,no,no,cellular,193,1,87,3,failure,yes
33,Millennial,management,single,tertiary,5437,no,no,cellular,267,1,91,1,failure,yes
41,GenX,blue-collar,married,secondary,5060,no,no,cellular,963,1,83,3,success,yes
38,GenX,technician,divorced,secondary,902,yes,no,cellular,301,3,90,1,success,yes
47,GenX,technician,married,secondary,335,no,no,cellular,417,1,76,1,success,yes
49,GenX,management,married,tertiary,1,no,no,telephone,1076,3,175,1,success,yes
33,Millennial,technician,single,tertiary,1636,yes,no,cellular,592,1,66,1,success,yes
60,Boomer,technician,married,secondary,316,no,no,cellular,545,2,263,4,failure,yes
33,Millennial,services,single,secondary,489,yes,no,cellular,297,4,334,1,other,yes
32,Millennial,student,single,tertiary,1138,no,no,cellular,214,3,83,3,success,yes
48,GenX,blue-collar,married,secondary,863,yes,no,telephone,412,5,350,2,success,yes
36,GenX,self-employed,married,secondary,188,yes,yes,cellular,1046,3,333,2,success,yes
35,GenX,management,married,tertiary,520,yes,no,cellular,458,3,17,5,failure,yes
30,Millennial,self-employed,married,tertiary,2666,no,no,cellular,781,3,89,1,success,yes
39,GenX,management,single,tertiary,1515,yes,no,cellular,815,6,167,6,failure,yes
39,GenX,management,single,tertiary,2454,yes,no,cellular,716,3,263,2,failure,yes
31,Millennial,management,single,tertiary,12857,yes,no,telephone,483,4,87,2,success,yes
35,GenX,entrepreneur,married,secondary,2971,no,no,cellular,429,4,164,2,failure,yes
36,GenX,services,single,secondary,1227,yes,yes,cellular,775,5,341,3,failure,yes
59,Boomer,retired,divorced,secondary,514,no,no,cellular,673,6,90,1,success,yes
28,Millennial,blue-collar,married,secondary,61,yes,no,cellular,226,2,319,1,success,yes
35,GenX,student,single,secondary,188,yes,no,cellular,863,1,78,8,success,yes
31,Millennial,blue-collar,single,secondary,196,yes,no,cellular,568,1,341,7,failure,yes
30,Millennial,technician,single,secondary,-522,yes,yes,cellular,670,2,286,6,failure,yes
35,GenX,admin.,married,secondary,1286,yes,no,cellular,862,3,337,1,other,yes
49,GenX,blue-collar,married,secondary,2039,yes,no,cellular,451,1,169,2,failure,yes
27,Millennial,admin.,married,secondary,710,yes,yes,cellular,653,1,334,2,success,yes
37,GenX,technician,divorced,secondary,141,yes,no,cellular,848,1,364,3,failure,yes
30,Millennial,management,divorced,tertiary,415,yes,yes,cellular,984,1,343,4,failure,yes
34,Millennial,entrepreneur,married,tertiary,0,yes,no,cellular,611,1,183,1,failure,yes
36,GenX,management,single,tertiary,7506,yes,no,cellular,839,2,188,1,success,yes
37,GenX,management,single,tertiary,102,yes,no,cellular,445,1,258,2,failure,yes
27,Millennial,technician,single,secondary,2,yes,yes,cellular,554,2,356,1,failure,yes
32,Millennial,admin.,married,secondary,752,yes,no,cellular,519,2,166,5,failure,yes
49,GenX,management,married,secondary,99,yes,no,cellular,687,2,343,1,failure,yes
49,GenX,services,married,primary,0,yes,no,cellular,445,2,166,3,failure,yes
33,Millennial,management,married,secondary,3935,yes,no,cellular,765,1,342,2,failure,yes
31,Millennial,management,single,tertiary,59,yes,yes,cellular,1347,2,363,1,failure,yes
40,GenX,management,married,tertiary,1598,yes,yes,cellular,1074,4,344,3,failure,yes
33,Millennial,admin.,married,secondary,-370,yes,no,cellular,261,1,345,1,failure,yes
31,Millennial,services,divorced,primary,459,yes,no,cellular,623,1,293,1,success,yes
42,GenX,blue-collar,married,primary,1461,yes,no,cellular,757,2,170,3,failure,yes
36,GenX,management,single,tertiary,4,yes,no,cellular,855,2,342,1,failure,yes
30,Millennial,services,single,secondary,-271,yes,no,cellular,609,1,337,1,success,yes
50,GenX,services,married,primary,5024,yes,yes,cellular,661,1,267,11,other,yes
51,Boomer,admin.,married,secondary,3025,no,no,cellular,476,1,352,1,other,yes
29,Millennial,technician,single,tertiary,0,yes,no,cellular,347,2,337,6,failure,yes
43,GenX,management,married,tertiary,1429,yes,no,cellular,1030,1,169,3,success,yes
31,Millennial,admin.,single,secondary,0,yes,no,cellular,895,2,295,2,failure,yes
34,Millennial,admin.,married,secondary,48,yes,no,cellular,1806,2,287,3,other,yes
49,GenX,blue-collar,single,primary,2146,yes,no,cellular,1516,2,353,2,other,yes
42,GenX,unemployed,married,secondary,356,yes,no,cellular,787,3,356,2,failure,yes
45,GenX,admin.,married,secondary,-106,yes,yes,cellular,553,3,288,1,other,yes
45,GenX,services,divorced,secondary,608,yes,yes,cellular,1135,3,323,30,failure,yes
45,GenX,blue-collar,divorced,secondary,-184,yes,no,cellular,878,3,170,5,failure,yes
39,GenX,admin.,single,secondary,2345,yes,no,cellular,491,2,344,2,failure,yes
57,Boomer,admin.,married,secondary,6005,yes,no,cellular,704,1,323,6,failure,yes
42,GenX,management,married,tertiary,4,yes,no,cellular,579,2,295,1,success,yes
57,Boomer,management,married,tertiary,830,yes,yes,cellular,662,1,367,1,success,yes
59,Boomer,retired,married,tertiary,148,yes,yes,cellular,685,2,366,1,other,yes
47,GenX,retired,married,primary,1374,no,yes,telephone,479,2,359,3,failure,yes
35,GenX,student,married,tertiary,387,yes,no,cellular,1024,3,347,3,failure,yes
42,GenX,management,married,tertiary,-556,yes,yes,cellular,682,3,347,3,failure,yes
41,GenX,admin.,single,secondary,-109,yes,yes,cellular,1038,1,370,1,failure,yes
36,GenX,entrepreneur,single,secondary,866,yes,no,cellular,629,1,173,1,failure,yes
43,GenX,management,divorced,tertiary,580,yes,no,cellular,1514,1,284,2,failure,yes
40,GenX,management,married,tertiary,-17,yes,yes,cellular,474,1,256,1,success,yes
49,GenX,blue-collar,divorced,primary,24,yes,no,cellular,701,1,362,1,success,yes
38,GenX,services,married,secondary,5293,yes,no,cellular,475,1,171,6,failure,yes
39,GenX,management,married,tertiary,763,yes,no,cellular,877,7,300,2,other,yes
50,GenX,retired,married,secondary,8648,no,no,cellular,731,3,176,1,failure,yes
34,Millennial,admin.,divorced,secondary,479,yes,no,cellular,515,1,350,5,failure,yes
38,GenX,housemaid,single,primary,199,yes,no,cellular,1203,1,306,1,failure,yes
39,GenX,services,married,secondary,25,yes,yes,cellular,658,1,351,3,failure,yes
48,GenX,services,divorced,secondary,-361,yes,no,cellular,1062,3,349,3,other,yes
30,Millennial,services,single,secondary,-158,yes,no,cellular,426,1,370,2,failure,yes
34,Millennial,admin.,single,secondary,151,yes,no,cellular,590,1,370,1,other,yes
39,GenX,management,single,tertiary,5073,yes,no,cellular,1182,1,286,4,failure,yes
39,GenX,admin.,married,secondary,607,yes,no,cellular,454,2,364,3,failure,yes
47,GenX,services,married,secondary,367,yes,no,cellular,309,1,306,4,success,yes
35,GenX,blue-collar,single,secondary,855,yes,no,cellular,549,1,300,1,success,yes
47,GenX,admin.,married,secondary,663,yes,yes,cellular,409,1,274,6,other,yes
46,GenX,blue-collar,married,primary,804,yes,no,cellular,1063,2,361,1,success,yes
37,GenX,admin.,single,primary,912,yes,no,cellular,637,3,328,22,other,yes
38,GenX,management,single,tertiary,3646,yes,no,cellular,1710,2,286,1,other,yes
59,Boomer,admin.,married,secondary,145,yes,no,telephone,556,2,287,13,success,yes
35,GenX,technician,single,secondary,399,yes,no,cellular,496,2,345,3,failure,yes
36,GenX,blue-collar,married,primary,319,yes,no,cellular,774,2,301,1,failure,yes
33,Millennial,technician,married,secondary,221,yes,no,cellular,669,1,355,4,failure,yes
28,Millennial,admin.,divorced,secondary,451,yes,no,cellular,302,1,301,1,success,yes
36,GenX,blue-collar,married,primary,828,no,no,cellular,1512,1,345,8,failure,yes
42,GenX,blue-collar,single,secondary,1080,yes,yes,cellular,951,3,370,4,failure,yes
34,Millennial,management,single,tertiary,76,yes,no,cellular,747,2,371,3,failure,yes
30,Millennial,admin.,married,secondary,396,yes,no,cellular,366,3,348,2,failure,yes
35,GenX,management,single,tertiary,1396,yes,no,cellular,809,1,300,1,failure,yes
51,Boomer,blue-collar,divorced,primary,-19,yes,no,cellular,829,1,296,11,failure,yes
41,GenX,services,married,secondary,471,yes,no,cellular,954,2,293,4,success,yes
50,GenX,technician,divorced,secondary,-54,yes,yes,cellular,698,2,292,1,failure,yes
40,GenX,blue-collar,married,primary,830,yes,no,cellular,873,3,370,2,failure,yes
36,GenX,admin.,divorced,secondary,437,yes,no,cellular,722,2,344,1,success,yes
28,Millennial,blue-collar,single,primary,54,yes,no,cellular,533,1,371,1,other,yes
49,GenX,management,married,tertiary,85,yes,no,cellular,590,5,359,1,other,yes
31,Millennial,self-employed,single,tertiary,17924,yes,no,cellular,745,1,174,3,failure,yes
55,Boomer,blue-collar,divorced,primary,8180,no,no,cellular,854,2,360,1,failure,yes
35,GenX,blue-collar,single,secondary,4963,yes,no,cellular,456,1,300,1,failure,yes
31,Millennial,admin.,married,secondary,8781,yes,no,cellular,680,1,177,1,success,yes
39,GenX,management,married,tertiary,1738,yes,no,cellular,633,1,358,1,other,yes
48,GenX,blue-collar,married,primary,214,yes,yes,cellular,307,1,177,2,failure,yes
29,Millennial,management,married,secondary,231,no,no,cellular,1075,1,14,1,failure,yes
41,GenX,blue-collar,married,secondary,580,yes,no,cellular,874,1,363,1,failure,yes
34,Millennial,management,married,tertiary,273,yes,no,cellular,492,1,175,2,failure,yes
36,GenX,self-employed,divorced,tertiary,1354,yes,no,cellular,1723,1,356,2,success,yes
35,GenX,blue-collar,divorced,secondary,336,yes,no,cellular,191,1,346,2,failure,yes
31,Millennial,blue-collar,single,secondary,953,yes,no,cellular,479,1,346,2,success,yes
53,Boomer,services,divorced,secondary,765,yes,no,cellular,959,3,174,7,other,yes
30,Millennial,admin.,single,secondary,315,yes,no,cellular,884,3,346,4,failure,yes
34,Millennial,admin.,married,secondary,124,yes,no,telephone,604,4,366,2,other,yes
39,GenX,services,single,secondary,7066,yes,no,cellular,667,3,357,3,other,yes
42,GenX,services,married,secondary,146,yes,yes,cellular,670,4,346,1,failure,yes
44,GenX,blue-collar,single,primary,36,yes,no,cellular,551,1,371,2,failure,yes
21,Millennial,blue-collar,married,primary,-172,yes,yes,cellular,409,1,361,3,failure,yes
56,Boomer,services,single,secondary,-40,yes,no,cellular,311,1,368,2,failure,yes
26,Millennial,services,married,secondary,77,yes,no,cellular,619,1,340,4,failure,yes
35,GenX,blue-collar,married,primary,22,yes,no,cellular,1190,2,302,2,other,yes
